"Feature" "Gain" "Cover" "Frequency"
"432" "GDAXI_STI_price_ratio" 0.001 0 0
"433" "`BSESN_SB=F_price_ratio`" 0.001 0.001 0
"434" "HSI_BVSP_rsi14_ratio" 0.001 0.001 0.001
"435" "`FVX_SI=F_price_ratio`" 0.001 0.002 0
"436" "`000001.SS_SI=F_rsi14_ratio`" 0.001 0 0
"437" "DJI_MXX_price_ratio" 0.001 0.001 0
"438" "`XLE_KE=F_rsi14_ratio`" 0.001 0 0
"439" "`CL=F_RB=F_rsi14_ratio`" 0.001 0.002 0.002
"440" "`ZO=F_000001.SS_price_ratio`" 0.001 0 0
"441" "XAX_XLE_rsi14_ratio" 0.001 0.001 0.001
"442" "`SI=F_ZS=F_price_ratio`" 0.001 0 0
"443" "FCHI_000001.SS_price_ratio" 0.001 0 0
"444" "`ZR=F_SI=F_price_ratio`" 0.001 0 0
"445" "XLY_MXX_rsi14_ratio" 0.001 0 0
"446" "`XLE_CT=F_rsi14_ratio`" 0.001 0 0.001
"447" "`XLK_GC=F_rsi14_ratio`" 0.001 0 0
"448" "XLP_BVSP_price_ratio" 0.001 0 0
"449" "ZO.F_smacross" 0.001 0 0
"450" "XLF_N225_price_ratio" 0.001 0.001 0
"451" "STI_000001.SS_rsi14_ratio" 0.001 0 0.001
"452" "`N225_RB=F_rsi14_ratio`" 0.001 0 0
"453" "`RUT_HG=F_rsi14_ratio`" 0.001 0 0.001
"454" "XLV_JKSE_rsi14_ratio" 0.001 0.001 0.001
"455" "HO.F_rsi14" 0.001 0 0.001
"456" "`TYX_KE=F_rsi14_ratio`" 0.001 0.001 0
"457" "`CT=F_GC=F_rsi14_ratio`" 0.001 0 0
"458" "`RB=F_XHB_rsi14_ratio`" 0.001 0 0
"459" "STI_BSESN_rsi14_ratio" 0.001 0 0
"460" "`MXX_RB=F_rsi14_ratio`" 0.001 0.001 0.001
"461" "JKSE_smacross" 0.001 0 0
"462" "`ZO=F_TLT_price_ratio`" 0.001 0.001 0
"463" "XLB_XLY_rsi14_ratio" 0.001 0.001 0.001
"464" "`KLSE_ZS=F_price_ratio`" 0.001 0 0
"465" "`HE=F_TLT_price_ratio`" 0.001 0.001 0
"466" "`ZO=F_OJ=F_rsi14_ratio`" 0.001 0 0
"467" "NYA_XLY_rsi14_ratio" 0.001 0.001 0
"468" "BFX_XHB_price_ratio" 0.001 0.001 0
"469" "`KS11_GF=F_rsi14_ratio`" 0.001 0.001 0.001
"470" "`TWII_GC=F_price_ratio`" 0.001 0.001 0
"471" "GF.F_rsi14" 0.001 0 0
"472" "`ZR=F_VIX_rsi14_ratio`" 0.001 0 0
"473" "`KC=F_SHY_rsi14_ratio`" 0.001 0 0
"474" "`ZL=F_KE=F_rsi14_ratio`" 0.001 0.001 0.001
"475" "`KE=F_IEF_rsi14_ratio`" 0.001 0 0
"476" "`FCHI_HE=F_rsi14_ratio`" 0.001 0 0
"477" "`XLF_SI=F_price_ratio`" 0.001 0.001 0
"478" "HSI_JKSE_price_ratio" 0.001 0 0
"479" "NYA_KS11_rsi14_ratio" 0.001 0 0
"480" "GSPC_GDAXI_price_ratio" 0.001 0 0
"481" "FTSE_XHB_price_ratio" 0.001 0 0
"482" "XLK_NZ50_rsi14_ratio" 0.001 0 0
"483" "XLK_SHY_rsi14_ratio" 0.001 0 0
"484" "DJI_GDAXI_price_ratio" 0.001 0.001 0
"485" "`IXIC_HG=F_price_ratio`" 0.001 0 0
"486" "XLK_XLY_rsi14_ratio" 0.001 0.001 0.001
"487" "`CC=F_CL=F_price_ratio`" 0.001 0.001 0
"488" "`FVX_GF=F_rsi14_ratio`" 0.001 0.001 0
"489" "NYA_FCHI_price_ratio" 0.001 0 0
"490" "DJI_SHY_rsi14_ratio" 0.001 0.001 0
"491" "`ZO=F_GF=F_rsi14_ratio`" 0.001 0 0.001
"492" "`ZR=F_GF=F_rsi14_ratio`" 0.001 0.001 0
"493" "MXX_BSESN_rsi14_ratio" 0.001 0 0.001
"494" "XLY_AXJO_rsi14_ratio" 0.001 0 0
"495" "AORD_MXX_rsi14_ratio" 0.001 0 0
"496" "GSPTSE_IEF_price_ratio" 0.001 0.001 0
"497" "XLI_BSESN_rsi14_ratio" 0.001 0 0
"498" "`ZO=F_KS11_rsi14_ratio`" 0.001 0 0
"499" "`XLY_NG=F_rsi14_ratio`" 0.001 0.001 0.001
"500" "SHY_XHB_rsi14_ratio" 0.001 0 0
"501" "`HSI_GF=F_rsi14_ratio`" 0.001 0.001 0
"502" "XLE_XLY_price_ratio" 0.001 0 0
"503" "XLP_MERV_price_ratio" 0.001 0 0
"504" "ZO.F_rsi14" 0.001 0 0
"505" "`KE=F_GF=F_rsi14_ratio`" 0.001 0.001 0
"506" "`ZM=F_SHY_price_ratio`" 0.001 0 0
"507" "N100_XHB_rsi14_ratio" 0.001 0 0
"508" "STI_N225_rsi14_ratio" 0.001 0.001 0.001
"509" "VIX_rsi14" 0.001 0 0
"510" "XLP_XHB_price_ratio" 0.001 0 0
"511" "XLY_DJI_price_ratio" 0.001 0 0
"512" "`000001.SS_HG=F_rsi14_ratio`" 0.001 0 0.001
"513" "XAX_XLF_rsi14_ratio" 0.001 0 0
"514" "`XLE_CC=F_rsi14_ratio`" 0.001 0 0
"515" "TNX_smacross" 0.001 0.001 0
"516" "AXJO_MXX_rsi14_ratio" 0.001 0 0
"517" "XLP_MXX_rsi14_ratio" 0.001 0 0
"518" "XLP_XLY_rsi14_ratio" 0.001 0.001 0.001
"519" "XLB_MERV_rsi14_ratio" 0.001 0 0.001
"520" "MERV_XHB_rsi14_ratio" 0.001 0 0.001
"521" "BSESN_KLSE_rsi14_ratio" 0.001 0.001 0.001
"522" "`NYA_HE=F_price_ratio`" 0.001 0 0
"523" "`N100_ZC=F_price_ratio`" 0.001 0.001 0
"524" "`XAX_ZO=F_price_ratio`" 0.001 0.001 0
"525" "N100_AXJO_rsi14_ratio" 0.001 0 0
"526" "`STI_CT=F_rsi14_ratio`" 0.001 0.001 0.001
"527" "XLU_XLV_rsi14_ratio" 0.001 0.001 0.001
"528" "FCHI_BFX_rsi14_ratio" 0.001 0 0
"529" "XLI_XLV_price_ratio" 0.001 0 0
"530" "FVX_JKSE_price_ratio" 0.001 0 0
"531" "`VIX_ZS=F_price_ratio`" 0.001 0 0
"532" "`XLP_KC=F_rsi14_ratio`" 0.001 0.001 0
"533" "KLSE_KS11_rsi14_ratio" 0.001 0 0
"534" "DJI_NZ50_price_ratio" 0.001 0 0
"535" "`KC=F_TLT_rsi14_ratio`" 0.001 0 0.001
"536" "XLK_IEF_rsi14_ratio" 0.001 0 0
"537" "IXIC_rsi14" 0.001 0 0
"538" "`KLSE_GF=F_rsi14_ratio`" 0.001 0 0.001
"539" "XLU_TLT_rsi14_ratio" 0.001 0.002 0.001
"540" "MXX_TYX_rsi14_ratio" 0.001 0 0.001
"541" "`TNX_SB=F_rsi14_ratio`" 0.001 0 0
"542" "`IRX_CL=F_rsi14_ratio`" 0.001 0 0
"543" "`SB=F_LE=F_rsi14_ratio`" 0.001 0.001 0.001
"544" "`SI=F_GC=F_rsi14_ratio`" 0.001 0.001 0.001
"545" "`ZO=F_LE=F_rsi14_ratio`" 0.001 0 0
"546" "XAX_TWII_price_ratio" 0.001 0 0.001
"547" "`IRX_ZL=F_rsi14_ratio`" 0.001 0 0
"548" "BVSP_TWII_price_ratio" 0.001 0.001 0
"549" "`N100_SI=F_rsi14_ratio`" 0.001 0.001 0
"550" "`SB=F_TLT_rsi14_ratio`" 0.001 0 0
"551" "DJI_KLSE_price_ratio" 0.001 0.001 0
"552" "`N225_GC=F_price_ratio`" 0.001 0.001 0
"553" "XAX_HSI_rsi14_ratio" 0.001 0 0
"554" "`XAX_RB=F_price_ratio`" 0.001 0 0
"555" "`MXX_RB=F_price_ratio`" 0.001 0 0
"556" "`KC=F_RB=F_price_ratio`" 0.001 0.001 0
"557" "`MXX_NG=F_rsi14_ratio`" 0.001 0.002 0.001
"558" "XLB_XHB_rsi14_ratio" 0.001 0.001 0.001
"559" "`HO=F_OJ=F_price_ratio`" 0.001 0 0
"560" "AORD_NZ50_rsi14_ratio" 0.001 0.001 0
"561" "`000001.SS_ZM=F_rsi14_ratio`" 0.001 0 0
"562" "VIX_JKSE_rsi14_ratio" 0.001 0 0.001
"563" "FVX_rsi14" 0.001 0 0
"564" "`CT=F_SB=F_price_ratio`" 0.001 0 0
"565" "`KC=F_LE=F_rsi14_ratio`" 0.001 0.001 0.001
"566" "`LE=F_GF=F_rsi14_ratio`" 0.001 0.001 0
"567" "`XLE_ZS=F_price_ratio`" 0.001 0.001 0
"568" "`FCHI_ZS=F_rsi14_ratio`" 0.001 0 0
"569" "XLB_XLE_price_ratio" 0.001 0 0
"570" "XAX_MXX_price_ratio" 0.001 0.001 0
"571" "MERV_KS11_rsi14_ratio" 0.001 0 0
"572" "`XLI_SI=F_price_ratio`" 0.001 0 0
"573" "`BSESN_CT=F_rsi14_ratio`" 0.001 0 0.001
"574" "XLV_MXX_price_ratio" 0.001 0 0
"575" "XAX_AORD_price_ratio" 0.001 0.002 0
"576" "XLB_STI_rsi14_ratio" 0.001 0.001 0.001
"577" "BSESN_BVSP_price_ratio" 0.001 0.001 0
"578" "`AORD_CT=F_rsi14_ratio`" 0.001 0 0
"579" "`JKSE_LE=F_rsi14_ratio`" 0.001 0.001 0
"580" "STI_000001.SS_price_ratio" 0.001 0 0
"581" "XLV_XHB_rsi14_ratio" 0.001 0.001 0.001
"582" "`XLP_OJ=F_rsi14_ratio`" 0.001 0.001 0.001
"583" "`ZM=F_ZC=F_price_ratio`" 0.001 0.001 0
"584" "AORD_KLSE_rsi14_ratio" 0.001 0 0
"585" "XLY_rsi14" 0.001 0.001 0
"586" "`KLSE_OJ=F_price_ratio`" 0.001 0 0
"587" "`CC=F_HO=F_rsi14_ratio`" 0 0.001 0.001
"588" "`KLSE_HG=F_rsi14_ratio`" 0 0.002 0.001
"589" "`NG=F_SI=F_rsi14_ratio`" 0 0.001 0.001
"590" "XLE_FTSE_rsi14_ratio" 0 0 0
"591" "`XLE_ZO=F_rsi14_ratio`" 0 0 0
"592" "RUT_BVSP_rsi14_ratio" 0 0.001 0
"593" "HE.F_smacross" 0 0.001 0.001
"594" "`DJI_ZM=F_rsi14_ratio`" 0 0 0
"595" "FCHI_N225_rsi14_ratio" 0 0 0
"596" "`BSESN_ZM=F_price_ratio`" 0 0 0
"597" "`HO=F_LE=F_price_ratio`" 0 0 0
"598" "`CC=F_CT=F_rsi14_ratio`" 0 0 0
"599" "KLSE_smacross" 0 0 0
"600" "STI_FVX_rsi14_ratio" 0 0 0.001
"601" "`XAX_SB=F_rsi14_ratio`" 0 0 0
"602" "XLI_JKSE_rsi14_ratio" 0 0 0.001
"603" "`HG=F_IEF_rsi14_ratio`" 0 0 0.001
"604" "BVSP_GSPTSE_rsi14_ratio" 0 0 0
"605" "XLK_MERV_rsi14_ratio" 0 0 0
"606" "RUT_XLE_rsi14_ratio" 0 0 0
"607" "`FTSE_SI=F_price_ratio`" 0 0 0
"608" "NYA_000001.SS_rsi14_ratio" 0 0 0
"609" "XLY_MERV_rsi14_ratio" 0 0 0
"610" "`BSESN_ZM=F_rsi14_ratio`" 0 0.001 0
"611" "`ZL=F_TLT_rsi14_ratio`" 0 0 0
"612" "`XLV_ZM=F_price_ratio`" 0 0 0
"613" "`FTSE_HG=F_rsi14_ratio`" 0 0.001 0.001
"614" "HSI_N225_rsi14_ratio" 0 0 0
"615" "`ZO=F_FTSE_rsi14_ratio`" 0 0 0
"616" "XLE_AORD_rsi14_ratio" 0 0 0
"617" "BSESN_000001.SS_price_ratio" 0 0 0
"618" "`GDAXI_OJ=F_rsi14_ratio`" 0 0 0
"619" "`XLK_HG=F_rsi14_ratio`" 0 0.001 0
"620" "TYX_FTSE_rsi14_ratio" 0 0 0
"621" "`HO=F_NZ50_rsi14_ratio`" 0 0 0.001
"622" "`IRX_GC=F_rsi14_ratio`" 0 0 0.001
"623" "XLY_AORD_rsi14_ratio" 0 0 0
"624" "XAX_XLV_price_ratio" 0 0 0
"625" "RUT_JKSE_rsi14_ratio" 0 0 0
"626" "XLV_smacross" 0 0.001 0
"627" "XLY_IXIC_rsi14_ratio" 0 0.001 0.001
"628" "TYX_NZ50_price_ratio" 0 0 0
"629" "XLY_GSPC_price_ratio" 0 0.001 0
"630" "`HSI_RB=F_price_ratio`" 0 0 0
"631" "GSPC_IXIC_rsi14_ratio" 0 0 0
"632" "`ZL=F_NG=F_price_ratio`" 0 0 0
"633" "`KC=F_ZL=F_price_ratio`" 0 0 0
"634" "FVX_N225_rsi14_ratio" 0 0 0
"635" "`CL=F_GF=F_price_ratio`" 0 0.001 0
"636" "XLY_DJI_rsi14_ratio" 0 0.001 0
"637" "`CT=F_ZL=F_price_ratio`" 0 0 0
"638" "DJI_FCHI_rsi14_ratio" 0 0 0
"639" "NYA_XHB_price_ratio" 0 0.001 0
"640" "XLI_GDAXI_rsi14_ratio" 0 0 0.001
"641" "CC.F_rsi14" 0 0 0
"642" "`GC=F_SHY_rsi14_ratio`" 0 0.001 0.001
"643" "`GSPTSE_GF=F_rsi14_ratio`" 0 0 0
"644" "N100_MXX_rsi14_ratio" 0 0 0
"645" "HSI_BVSP_price_ratio" 0 0 0
"646" "`000001.SS_RB=F_price_ratio`" 0 0 0
"647" "`GSPTSE_LE=F_price_ratio`" 0 0 0
"648" "XLU_FVX_price_ratio" 0 0 0
"649" "BSESN_MERV_rsi14_ratio" 0 0 0
"650" "XLK_IXIC_price_ratio" 0 0 0
"651" "XLK_GSPC_rsi14_ratio" 0 0.001 0.001
"652" "`ZC=F_NG=F_price_ratio`" 0 0 0
"653" "DJI_TNX_price_ratio" 0 0.001 0
"654" "`IXIC_KE=F_rsi14_ratio`" 0 0 0
"655" "`RUT_CT=F_rsi14_ratio`" 0 0 0
"656" "BSESN_XHB_price_ratio" 0 0 0
"657" "`XLU_SB=F_rsi14_ratio`" 0 0 0
"658" "`KC=F_KLSE_rsi14_ratio`" 0 0 0
"659" "MERV_NZ50_rsi14_ratio" 0 0.001 0.001
"660" "`N225_ZL=F_rsi14_ratio`" 0 0.001 0
"661" "XLU_IXIC_rsi14_ratio" 0 0 0
"662" "`ZC=F_HE=F_rsi14_ratio`" 0 0.001 0
"663" "`SB=F_IEF_rsi14_ratio`" 0 0 0
"664" "XLU_AORD_price_ratio" 0 0 0
"665" "RUT_XLY_price_ratio" 0 0 0
"666" "`ZR=F_KS11_rsi14_ratio`" 0 0.001 0
"667" "`TNX_ZS=F_rsi14_ratio`" 0 0 0
"668" "`XLV_GF=F_rsi14_ratio`" 0 0 0
"669" "`TYX_ZL=F_rsi14_ratio`" 0 0.001 0
"670" "`000001.SS_SB=F_rsi14_ratio`" 0 0 0
"671" "`CT=F_HE=F_price_ratio`" 0 0.001 0
"672" "AORD_FVX_rsi14_ratio" 0 0 0
"673" "`XLV_KC=F_rsi14_ratio`" 0 0.001 0
"674" "`XAX_HO=F_rsi14_ratio`" 0 0.001 0.001
"675" "XAX_MXX_rsi14_ratio" 0 0 0
"676" "BSESN_FTSE_rsi14_ratio" 0 0.001 0.001
"677" "`CT=F_KE=F_rsi14_ratio`" 0 0 0.001
"678" "`BVSP_ZM=F_price_ratio`" 0 0 0
"679" "`GF=F_TLT_rsi14_ratio`" 0 0 0.001
"680" "`KC=F_CL=F_rsi14_ratio`" 0 0.001 0.001
"681" "AXJO_GSPTSE_price_ratio" 0 0 0
"682" "`GSPC_LE=F_price_ratio`" 0 0 0
"683" "`FTSE_OJ=F_price_ratio`" 0 0 0
"684" "XLK_GSPTSE_rsi14_ratio" 0 0.002 0.001
"685" "NYA_XLU_rsi14_ratio" 0 0.001 0.001
"686" "IRX_TWII_price_ratio" 0 0 0
"687" "FCHI_AORD_price_ratio" 0 0 0
"688" "STI_smacross" 0 0 0
"689" "N100_NZ50_rsi14_ratio" 0 0 0
"690" "XLE_STI_price_ratio" 0 0.001 0.001
"691" "VIX_NZ50_rsi14_ratio" 0 0 0
"692" "LE.F_rsi14" 0 0 0.001
"693" "`TNX_ZL=F_price_ratio`" 0 0.001 0
"694" "RUT_smacross" 0 0 0
"695" "`ZL=F_ZM=F_rsi14_ratio`" 0 0 0
"696" "`ZO=F_ZM=F_rsi14_ratio`" 0 0 0.001
"697" "XLU_XHB_price_ratio" 0 0 0
"698" "`HSI_RB=F_rsi14_ratio`" 0 0 0.001
"699" "BVSP_XHB_rsi14_ratio" 0 0.001 0.001
"700" "NYA_N225_price_ratio" 0 0 0
"701" "`MERV_OJ=F_price_ratio`" 0 0.001 0
"702" "XLB_NZ50_rsi14_ratio" 0 0 0
"703" "`STI_GC=F_rsi14_ratio`" 0 0 0.001
"704" "STI_GSPTSE_price_ratio" 0 0 0
"705" "`GSPC_CT=F_price_ratio`" 0 0 0
"706" "`XLP_SI=F_price_ratio`" 0 0 0
"707" "XLK_FCHI_rsi14_ratio" 0 0.001 0.001
"708" "NYA_FVX_rsi14_ratio" 0 0 0
"709" "`N225_ZC=F_rsi14_ratio`" 0 0 0
"710" "RUT_N225_rsi14_ratio" 0 0.001 0.001
"711" "XLF_GSPC_rsi14_ratio" 0 0 0.001
"712" "`ZR=F_FVX_rsi14_ratio`" 0 0 0
"713" "`VIX_SI=F_rsi14_ratio`" 0 0 0
"714" "`GDAXI_KC=F_price_ratio`" 0 0 0
"715" "`TNX_ZO=F_price_ratio`" 0 0 0
"716" "GDAXI_GSPTSE_rsi14_ratio" 0 0 0
"717" "`AXJO_CT=F_price_ratio`" 0 0 0
"718" "X000001.SS_rsi14" 0 0 0
"719" "XLE_MERV_rsi14_ratio" 0 0 0
"720" "`ZR=F_XHB_price_ratio`" 0 0 0
"721" "`HG=F_GC=F_price_ratio`" 0 0 0
"722" "`XLE_CL=F_rsi14_ratio`" 0 0.001 0.001
"723" "`AXJO_HE=F_rsi14_ratio`" 0 0 0
"724" "`XLP_ZL=F_rsi14_ratio`" 0 0 0
"725" "`FTSE_HO=F_rsi14_ratio`" 0 0 0
"726" "`FCHI_HG=F_rsi14_ratio`" 0 0 0.001
"727" "STI_HSI_price_ratio" 0 0 0
"728" "NYA_STI_price_ratio" 0 0 0
"729" "`SI=F_HE=F_price_ratio`" 0 0 0
"730" "MXX_VIX_price_ratio" 0 0 0
"731" "`N225_SI=F_price_ratio`" 0 0.001 0
"732" "`HG=F_RB=F_price_ratio`" 0 0 0
"733" "SI.F_rsi14" 0 0 0
"734" "`TNX_GC=F_rsi14_ratio`" 0 0 0
"735" "tnx_tyx" 0 0 0
"736" "`XLI_CT=F_rsi14_ratio`" 0 0 0
"737" "XLI_XLV_rsi14_ratio" 0 0 0.001
"738" "`TNX_CL=F_price_ratio`" 0 0 0
"739" "XAX_SHY_price_ratio" 0 0 0
"740" "`CT=F_XHB_rsi14_ratio`" 0 0 0.001
"741" "`XLB_HE=F_price_ratio`" 0 0 0
"742" "`XAX_OJ=F_rsi14_ratio`" 0 0 0.001
"743" "`AORD_ZL=F_rsi14_ratio`" 0 0 0
"744" "BSESN_GSPTSE_rsi14_ratio" 0 0.001 0.001
"745" "RUT_FCHI_price_ratio" 0 0 0
"746" "IXIC_TWII_rsi14_ratio" 0 0 0
"747" "`GDAXI_NG=F_price_ratio`" 0 0 0
"748" "`XLU_GC=F_price_ratio`" 0 0.001 0
"749" "`ZR=F_ZO=F_price_ratio`" 0 0 0
"750" "`XLE_ZO=F_price_ratio`" 0 0 0
"751" "IXIC_MXX_rsi14_ratio" 0 0 0
"752" "MERV_TWII_rsi14_ratio" 0 0.001 0.001
"753" "AORD_MXX_price_ratio" 0 0 0
"754" "`BSESN_ZR=F_rsi14_ratio`" 0 0 0.001
"755" "`GF=F_SHY_rsi14_ratio`" 0 0.002 0.001
"756" "MXX_IEF_price_ratio" 0 0.001 0
"757" "TLT_IEF_rsi14_ratio" 0 0 0.001
"758" "`ZS=F_KE=F_rsi14_ratio`" 0 0.001 0.001
"759" "KS11_TLT_price_ratio" 0 0 0
"760" "`SB=F_NZ50_rsi14_ratio`" 0 0.001 0.001
"761" "XLF_GDAXI_rsi14_ratio" 0 0 0
"762" "MXX_HSI_rsi14_ratio" 0 0 0
"763" "XLB_XHB_price_ratio" 0 0 0
"764" "`DJI_LE=F_price_ratio`" 0 0 0
"765" "`XLY_RB=F_price_ratio`" 0 0 0
"766" "TNX_TWII_rsi14_ratio" 0 0 0
"767" "`TYX_SI=F_price_ratio`" 0 0 0
"768" "`CL=F_HE=F_rsi14_ratio`" 0 0 0.001
"769" "`XLI_HO=F_rsi14_ratio`" 0 0 0
"770" "XLU_BFX_rsi14_ratio" 0 0 0
"771" "`MXX_ZO=F_price_ratio`" 0 0.001 0
"772" "`XLU_ZC=F_rsi14_ratio`" 0 0 0.001
"773" "BFX_FTSE_rsi14_ratio" 0 0 0
"774" "`BVSP_HE=F_rsi14_ratio`" 0 0.001 0
"775" "`SB=F_GF=F_rsi14_ratio`" 0 0 0.001
"776" "`CC=F_SB=F_rsi14_ratio`" 0 0 0
"777" "XLI_IXIC_rsi14_ratio" 0 0 0.001
"778" "`KC=F_ZS=F_price_ratio`" 0 0 0
"779" "`GDAXI_ZL=F_price_ratio`" 0 0 0
"780" "`CL=F_LE=F_rsi14_ratio`" 0 0 0
"781" "XLU_DJI_rsi14_ratio" 0 0 0
"782" "RUT_XLI_rsi14_ratio" 0 0 0.001
"783" "XLK_TLT_rsi14_ratio" 0 0 0
"784" "XLV_FTSE_rsi14_ratio" 0 0 0
"785" "`VIX_ZM=F_rsi14_ratio`" 0 0 0.001
"786" "`GSPC_SI=F_price_ratio`" 0 0 0
"787" "RUT_NZ50_rsi14_ratio" 0 0.001 0
"788" "`BSESN_SI=F_price_ratio`" 0 0 0
"789" "`MXX_SI=F_price_ratio`" 0 0 0
"790" "RUT_XLU_rsi14_ratio" 0 0.001 0.001
"791" "`ZO=F_ZM=F_price_ratio`" 0 0.001 0
"792" "`IXIC_GF=F_rsi14_ratio`" 0 0 0
"793" "`XLK_ZS=F_rsi14_ratio`" 0 0 0
"794" "XLP_AXJO_rsi14_ratio" 0 0.001 0
"795" "`000001.SS_NG=F_rsi14_ratio`" 0 0 0.001
"796" "`KC=F_MERV_rsi14_ratio`" 0 0 0
"797" "XLB_XLK_price_ratio" 0 0 0
"798" "`HG=F_HO=F_price_ratio`" 0 0.001 0
"799" "XLU_GSPC_rsi14_ratio" 0 0 0
"800" "STI_MERV_rsi14_ratio" 0 0 0.001
"801" "`TWII_OJ=F_price_ratio`" 0 0 0
"802" "`STI_GC=F_price_ratio`" 0 0 0
"803" "`TYX_NG=F_price_ratio`" 0 0 0
"804" "XLU_XHB_rsi14_ratio" 0 0.001 0.001
"805" "`ZM=F_CL=F_price_ratio`" 0 0 0
"806" "`HO=F_KE=F_price_ratio`" 0 0 0
"807" "`JKSE_LE=F_price_ratio`" 0 0 0
"808" "FCHI_TLT_price_ratio" 0 0 0
"809" "XLB_XLK_rsi14_ratio" 0 0.001 0.001
"810" "`CC=F_NG=F_price_ratio`" 0 0 0
"811" "MXX_rsi14" 0 0 0
"812" "`CT=F_KC=F_price_ratio`" 0 0 0
"813" "TNX_JKSE_rsi14_ratio" 0 0.001 0
"814" "GSPTSE_TWII_price_ratio" 0 0.001 0
"815" "XLF_VIX_rsi14_ratio" 0 0 0.001
"816" "XLU_STI_rsi14_ratio" 0 0.001 0.001
"817" "`XLE_KC=F_rsi14_ratio`" 0 0 0
"818" "`RUT_KC=F_price_ratio`" 0 0 0
"819" "`VIX_ZO=F_rsi14_ratio`" 0 0 0.001
"820" "STI_VIX_rsi14_ratio" 0 0 0
"821" "`KC=F_IEF_price_ratio`" 0 0 0
"822" "BFX_BSESN_rsi14_ratio" 0 0.001 0
"823" "XLI_XLP_rsi14_ratio" 0 0.001 0.001
"824" "N100_TNX_price_ratio" 0 0 0
"825" "XLI_IXIC_price_ratio" 0 0 0
"826" "`SI=F_ZS=F_rsi14_ratio`" 0 0.001 0
"827" "MXX_SHY_price_ratio" 0 0 0
"828" "`ZL=F_RB=F_price_ratio`" 0 0.001 0.001
"829" "`ZR=F_HO=F_price_ratio`" 0 0 0
"830" "`JKSE_CL=F_price_ratio`" 0 0 0
"831" "`CL=F_SI=F_rsi14_ratio`" 0 0.001 0
"832" "`BFX_OJ=F_rsi14_ratio`" 0 0.001 0.001
"833" "NYA_XLV_rsi14_ratio" 0 0 0.001
"834" "`AXJO_OJ=F_rsi14_ratio`" 0 0 0
"835" "`STI_HG=F_rsi14_ratio`" 0 0.001 0.001
"836" "`000001.SS_KE=F_rsi14_ratio`" 0 0 0
"837" "`XLF_LE=F_price_ratio`" 0 0.001 0
"838" "`ZS=F_HE=F_rsi14_ratio`" 0 0 0
"839" "`KC=F_ZO=F_rsi14_ratio`" 0 0 0.001
"840" "`XLK_KC=F_rsi14_ratio`" 0 0.001 0.001
"841" "AXJO_FTSE_rsi14_ratio" 0 0 0.001
"842" "AXJO_BVSP_rsi14_ratio" 0 0 0
"843" "`MXX_HE=F_price_ratio`" 0 0 0
"844" "`ZO=F_NG=F_price_ratio`" 0 0 0
"845" "STI_JKSE_rsi14_ratio" 0 0.001 0
"846" "XLY_N100_rsi14_ratio" 0 0 0
"847" "`N100_HE=F_price_ratio`" 0 0 0
"848" "XLE_FCHI_price_ratio" 0 0 0
"849" "N100_JKSE_price_ratio" 0 0 0
"850" "`HG=F_XHB_rsi14_ratio`" 0 0 0
"851" "NYA_IXIC_rsi14_ratio" 0 0 0
"852" "`MXX_ZR=F_rsi14_ratio`" 0 0.001 0
"853" "XLF_BSESN_price_ratio" 0 0 0
"854" "`FVX_HG=F_rsi14_ratio`" 0 0 0
"855" "N100_XHB_price_ratio" 0 0.001 0
"856" "`HSI_LE=F_rsi14_ratio`" 0 0 0
"857" "`AORD_HE=F_rsi14_ratio`" 0 0.001 0
"858" "NYA_IEF_price_ratio" 0 0 0
"859" "`ZC=F_NZ50_rsi14_ratio`" 0 0 0
"860" "`RB=F_LE=F_price_ratio`" 0 0 0
"861" "BFX_HSI_price_ratio" 0 0 0
"862" "HG.F_smacross" 0 0.001 0
"863" "STI_BVSP_rsi14_ratio" 0 0 0.001
"864" "`FCHI_KE=F_rsi14_ratio`" 0 0 0
"865" "RUT_XLV_price_ratio" 0 0.001 0
"866" "TWII_TLT_rsi14_ratio" 0 0 0
"867" "XLB_XLF_price_ratio" 0 0 0
"868" "STI_HSI_rsi14_ratio" 0 0.001 0.001
"869" "MERV_000001.SS_price_ratio" 0 0 0
"870" "BVSP_TNX_rsi14_ratio" 0 0 0
"871" "XLF_XLI_price_ratio" 0 0 0
"872" "AXJO_smacross" 0 0 0
"873" "MXX_VIX_rsi14_ratio" 0 0 0
"874" "XLI_XLU_rsi14_ratio" 0 0.001 0
"875" "FTSE_IEF_rsi14_ratio" 0 0 0
"876" "FCHI_HSI_price_ratio" 0 0 0
"877" "`RUT_CT=F_price_ratio`" 0 0 0
"878" "AORD_XHB_price_ratio" 0 0 0
"879" "`RUT_NG=F_rsi14_ratio`" 0 0 0
"880" "RUT_FCHI_rsi14_ratio" 0 0.001 0.001
"881" "`XLI_ZL=F_price_ratio`" 0 0 0
"882" "XLV_MERV_rsi14_ratio" 0 0 0.001
"883" "`ZR=F_KE=F_price_ratio`" 0 0 0
"884" "AORD_MERV_rsi14_ratio" 0 0 0
"885" "`DJI_HE=F_rsi14_ratio`" 0 0 0
"886" "XLB_XLU_price_ratio" 0 0.001 0.001
"887" "BVSP_000001.SS_rsi14_ratio" 0 0 0
"888" "`ZO=F_GC=F_rsi14_ratio`" 0 0 0
"889" "`XLK_ZR=F_rsi14_ratio`" 0 0 0
"890" "`DJI_HE=F_price_ratio`" 0 0 0
