"Feature" "Gain" "Cover" "Frequency"
"1" "`ZC=F_XHB_price_ratio`" 0.004 0.002 0
"2" "BSESN_000001.SS_price_ratio" 0.003 0.003 0
"3" "BFX_N225_price_ratio" 0.003 0.002 0
"4" "`KLSE_CL=F_price_ratio`" 0.002 0.002 0
"5" "XLF_AXJO_price_ratio" 0.002 0.001 0
"6" "`HSI_ZL=F_rsi14_ratio`" 0.002 0.001 0.001
"7" "KLSE_JKSE_rsi14_ratio" 0.002 0.003 0.001
"8" "XLI_XLK_rsi14_ratio" 0.002 0.001 0.001
"9" "`ZR=F_KE=F_rsi14_ratio`" 0.002 0.001 0
"10" "`CT=F_ZC=F_rsi14_ratio`" 0.002 0.001 0.001
"11" "STI_KS11_rsi14_ratio" 0.002 0.001 0.001
"12" "TWII_JKSE_price_ratio" 0.002 0.001 0
"13" "XLB_DJI_price_ratio" 0.002 0.002 0.001
"14" "`HG=F_HO=F_rsi14_ratio`" 0.002 0.001 0
"15" "mortgage_change" 0.002 0.003 0.001
"16" "`KLSE_HE=F_rsi14_ratio`" 0.002 0 0.001
"17" "`ZO=F_ZC=F_rsi14_ratio`" 0.002 0.001 0.001
"18" "`MERV_HG=F_price_ratio`" 0.002 0.001 0
"19" "`XLB_CC=F_price_ratio`" 0.002 0.001 0
"20" "`N100_NG=F_price_ratio`" 0.002 0.001 0
"21" "`VIX_ZL=F_price_ratio`" 0.002 0.002 0.001
"22" "NYA_XLI_rsi14_ratio" 0.002 0.003 0.001
"23" "XLE_JKSE_rsi14_ratio" 0.002 0.001 0
"24" "XAX_STI_price_ratio" 0.002 0.001 0
"25" "`XLB_CT=F_rsi14_ratio`" 0.002 0.003 0
"26" "`CC=F_NG=F_rsi14_ratio`" 0.002 0 0
"27" "XLF_XLV_rsi14_ratio" 0.002 0.002 0.001
"28" "XLV_XLY_price_ratio" 0.002 0.001 0.001
"29" "`BVSP_ZM=F_rsi14_ratio`" 0.002 0.001 0
"30" "`ZO=F_SB=F_rsi14_ratio`" 0.002 0.001 0
"31" "XLB_XLF_rsi14_ratio" 0.002 0.001 0
"32" "XLI_XLK_price_ratio" 0.002 0.001 0
"33" "XLB_N100_rsi14_ratio" 0.002 0.001 0.001
"34" "`CC=F_ZC=F_rsi14_ratio`" 0.002 0.001 0.001
"35" "`XLP_GF=F_price_ratio`" 0.001 0.002 0
"36" "JKSE_NZ50_price_ratio" 0.001 0.001 0
"37" "GDAXI_TWII_rsi14_ratio" 0.001 0.002 0
"38" "XLB_MERV_rsi14_ratio" 0.001 0.001 0.001
"39" "`SI=F_HO=F_rsi14_ratio`" 0.001 0 0.001
"40" "XLU_NZ50_price_ratio" 0.001 0 0
"41" "`VIX_ZO=F_rsi14_ratio`" 0.001 0.001 0
"42" "XLB_GSPC_price_ratio" 0.001 0.001 0
"43" "TWII_XHB_price_ratio" 0.001 0.002 0
"44" "`JKSE_SI=F_rsi14_ratio`" 0.001 0.001 0
"45" "XLB_XLI_rsi14_ratio" 0.001 0.003 0.001
"46" "FCHI_KS11_price_ratio" 0.001 0 0
"47" "`CT=F_NG=F_price_ratio`" 0.001 0.001 0.001
"48" "XLY_NZ50_rsi14_ratio" 0.001 0.001 0.001
"49" "`TWII_ZS=F_price_ratio`" 0.001 0 0
"50" "`GDAXI_CL=F_price_ratio`" 0.001 0 0
"51" "XLV_JKSE_rsi14_ratio" 0.001 0.001 0.001
"52" "`KC=F_OJ=F_rsi14_ratio`" 0.001 0.003 0.001
"53" "TWII_KS11_rsi14_ratio" 0.001 0.001 0
"54" "`HSI_KC=F_rsi14_ratio`" 0.001 0 0
"55" "`MXX_SI=F_rsi14_ratio`" 0.001 0.001 0
"56" "`LE=F_OJ=F_price_ratio`" 0.001 0 0
"57" "AXJO_rsi14" 0.001 0 0.001
"58" "`XLY_GF=F_price_ratio`" 0.001 0.001 0
"59" "`KC=F_NZ50_rsi14_ratio`" 0.001 0 0
"60" "BSESN_MERV_rsi14_ratio" 0.001 0.003 0
"61" "XLV_AXJO_rsi14_ratio" 0.001 0 0
"62" "XLU_IXIC_rsi14_ratio" 0.001 0.001 0.001
"63" "RUT_NYA_rsi14_ratio" 0.001 0.001 0.001
"64" "`GF=F_OJ=F_price_ratio`" 0.001 0.001 0
"65" "XLP_VIX_rsi14_ratio" 0.001 0 0.001
"66" "XLK_XHB_rsi14_ratio" 0.001 0.001 0.001
"67" "XLF_MERV_rsi14_ratio" 0.001 0 0
"68" "`KLSE_SI=F_price_ratio`" 0.001 0.001 0
"69" "`SB=F_XHB_price_ratio`" 0.001 0.001 0
"70" "RUT_rsi14" 0.001 0 0
"71" "XLK_DJI_rsi14_ratio" 0.001 0.002 0.001
"72" "`ZL=F_ZM=F_rsi14_ratio`" 0.001 0.001 0.001
"73" "XLP_XLU_rsi14_ratio" 0.001 0.003 0.001
"74" "`BSESN_OJ=F_rsi14_ratio`" 0.001 0.001 0
"75" "`ZC=F_RB=F_price_ratio`" 0.001 0.001 0
"76" "`ZR=F_GSPTSE_price_ratio`" 0.001 0 0
"77" "DJI_KLSE_rsi14_ratio" 0.001 0 0
"78" "XLI_DJI_rsi14_ratio" 0.001 0.001 0.001
"79" "`BFX_KC=F_rsi14_ratio`" 0.001 0 0
"80" "`ZR=F_RB=F_price_ratio`" 0.001 0.001 0
"81" "`FCHI_NG=F_price_ratio`" 0.001 0.001 0
"82" "XHB_smacross" 0.001 0 0
"83" "`KC=F_ZM=F_rsi14_ratio`" 0.001 0.001 0.001
"84" "`ZR=F_HE=F_price_ratio`" 0.001 0.003 0
"85" "XLU_NZ50_rsi14_ratio" 0.001 0.002 0.001
"86" "`IRX_KE=F_rsi14_ratio`" 0.001 0 0.001
"87" "RUT_N100_rsi14_ratio" 0.001 0.001 0
"88" "`NG=F_IEF_rsi14_ratio`" 0.001 0.001 0.001
"89" "XLB_IXIC_price_ratio" 0.001 0 0
"90" "`MXX_SB=F_rsi14_ratio`" 0.001 0 0
"91" "`GF=F_OJ=F_rsi14_ratio`" 0.001 0 0
"92" "XLY_GSPC_rsi14_ratio" 0.001 0.001 0.001
"93" "RUT_KS11_rsi14_ratio" 0.001 0.001 0
"94" "HSI_GSPTSE_rsi14_ratio" 0.001 0.001 0.001
"95" "`ZO=F_JKSE_rsi14_ratio`" 0.001 0 0
"96" "KS11_IEF_price_ratio" 0.001 0 0
"97" "GDAXI_N225_rsi14_ratio" 0.001 0.001 0.001
"98" "DJI_JKSE_rsi14_ratio" 0.001 0 0
"99" "RUT_XLB_rsi14_ratio" 0.001 0.001 0.001
"100" "`CC=F_MERV_rsi14_ratio`" 0.001 0 0
"101" "XLI_XLY_rsi14_ratio" 0.001 0 0
"102" "XLE_GSPTSE_rsi14_ratio" 0.001 0 0.001
"103" "`CL=F_RB=F_rsi14_ratio`" 0.001 0 0.001
"104" "`ZO=F_ZL=F_price_ratio`" 0.001 0.001 0
"105" "HG.F_rsi14" 0.001 0 0
"106" "XLP_XLV_rsi14_ratio" 0.001 0.001 0.001
"107" "XLK_BSESN_rsi14_ratio" 0.001 0.001 0.001
"108" "XLY_N225_rsi14_ratio" 0.001 0 0.001
"109" "XLF_XLY_rsi14_ratio" 0.001 0.001 0.001
"110" "`ZC=F_NG=F_rsi14_ratio`" 0.001 0.001 0.001
"111" "`CC=F_HE=F_rsi14_ratio`" 0.001 0.001 0
"112" "`XAX_CL=F_rsi14_ratio`" 0.001 0 0
"113" "`XLE_LE=F_rsi14_ratio`" 0.001 0.001 0.001
"114" "XAX_KS11_rsi14_ratio" 0.001 0.001 0.001
"115" "`BFX_ZR=F_rsi14_ratio`" 0.001 0.001 0
"116" "N100_BSESN_rsi14_ratio" 0.001 0.002 0.001
"117" "`KC=F_HE=F_price_ratio`" 0.001 0.001 0
"118" "TWII_rsi14" 0.001 0.001 0
"119" "XLF_IXIC_rsi14_ratio" 0.001 0.003 0.001
"120" "`IRX_NG=F_rsi14_ratio`" 0.001 0.001 0.001
"121" "`JKSE_HE=F_rsi14_ratio`" 0.001 0 0
"122" "`BSESN_CC=F_price_ratio`" 0.001 0 0
"123" "`KC=F_GC=F_rsi14_ratio`" 0.001 0.001 0
"124" "`ZC=F_GC=F_rsi14_ratio`" 0.001 0 0
"125" "`ZM=F_NG=F_rsi14_ratio`" 0.001 0 0
"126" "FTSE_TWII_rsi14_ratio" 0.001 0 0
"127" "XLY_FCHI_rsi14_ratio" 0.001 0 0
"128" "`ZR=F_IRX_rsi14_ratio`" 0.001 0 0
"129" "DJI_TWII_price_ratio" 0.001 0.001 0
"130" "`CC=F_HO=F_rsi14_ratio`" 0.001 0.001 0.001
"131" "XLF_VIX_rsi14_ratio" 0.001 0.001 0
"132" "`XLF_ZM=F_price_ratio`" 0.001 0.001 0
"133" "`ZR=F_HO=F_rsi14_ratio`" 0.001 0.001 0.001
"134" "XLP_JKSE_rsi14_ratio" 0.001 0 0
"135" "`ZM=F_KE=F_rsi14_ratio`" 0.001 0.001 0.001
"136" "`LE=F_SHY_rsi14_ratio`" 0.001 0 0
"137" "`LE=F_OJ=F_rsi14_ratio`" 0.001 0 0.001
"138" "XLF_XLI_rsi14_ratio" 0.001 0.002 0.001
"139" "NYA_DJI_rsi14_ratio" 0.001 0.001 0.001
"140" "XLE_IEF_price_ratio" 0.001 0.001 0
"141" "`DJI_SI=F_rsi14_ratio`" 0.001 0.001 0
"142" "`NG=F_SI=F_rsi14_ratio`" 0.001 0 0.001
"143" "`ZR=F_SI=F_rsi14_ratio`" 0.001 0 0
"144" "KC.F_smacross" 0.001 0 0
"145" "`ZL=F_LE=F_price_ratio`" 0.001 0.001 0
"146" "XLE_N100_price_ratio" 0.001 0.003 0
"147" "BFX_GSPTSE_price_ratio" 0.001 0 0
"148" "XLE_TYX_price_ratio" 0.001 0 0
