"Feature" "Gain" "Cover" "Frequency"
"149" "`KE=F_NZ50_rsi14_ratio`" 0.001 0.001 0
"150" "`BVSP_GF=F_rsi14_ratio`" 0.001 0.001 0
"151" "TWII_JKSE_rsi14_ratio" 0.001 0.001 0
"152" "VIX_IRX_price_ratio" 0.001 0 0
"153" "`XLU_CC=F_rsi14_ratio`" 0.001 0 0
"154" "XLV_GSPC_price_ratio" 0.001 0 0
"155" "`BFX_OJ=F_rsi14_ratio`" 0.001 0.002 0
"156" "`ZO=F_ZS=F_rsi14_ratio`" 0.001 0.001 0.001
"157" "`CT=F_RB=F_price_ratio`" 0.001 0 0
"158" "AORD_GDAXI_price_ratio" 0.001 0 0
"159" "MXX_NZ50_rsi14_ratio" 0.001 0 0
"160" "RUT_GDAXI_rsi14_ratio" 0.001 0 0
"161" "`CC=F_ZO=F_rsi14_ratio`" 0.001 0.001 0.001
"162" "`XLF_LE=F_price_ratio`" 0.001 0 0
"163" "`ZL=F_RB=F_rsi14_ratio`" 0.001 0 0.001
"164" "`KLSE_LE=F_price_ratio`" 0.001 0.001 0
"165" "ZL.F_rsi14" 0.001 0 0.001
"166" "MXX_SHY_price_ratio" 0.001 0 0
"167" "unrate_change" 0.001 0.001 0
"168" "HSI_FVX_rsi14_ratio" 0.001 0 0.001
"169" "N100_BFX_rsi14_ratio" 0.001 0 0.001
"170" "`NG=F_OJ=F_rsi14_ratio`" 0.001 0.001 0.001
"171" "`HE=F_TLT_price_ratio`" 0.001 0.001 0
"172" "`FCHI_HO=F_rsi14_ratio`" 0.001 0 0
"173" "XLE_MERV_price_ratio" 0.001 0 0
"174" "`ZO=F_OJ=F_rsi14_ratio`" 0.001 0.001 0.001
"175" "RUT_XLK_rsi14_ratio" 0.001 0.001 0.001
"176" "`ZR=F_LE=F_rsi14_ratio`" 0.001 0.001 0.001
"177" "XLI_TLT_rsi14_ratio" 0.001 0 0
"178" "XLE_XLK_price_ratio" 0.001 0 0
"179" "`XLB_NG=F_rsi14_ratio`" 0.001 0.001 0.001
"180" "RUT_FCHI_rsi14_ratio" 0.001 0 0.001
"181" "`KE=F_OJ=F_rsi14_ratio`" 0.001 0.001 0.001
"182" "XAX_XLB_price_ratio" 0.001 0.001 0
"183" "`XAX_ZR=F_rsi14_ratio`" 0.001 0 0
"184" "XAX_GSPTSE_price_ratio" 0.001 0 0
"185" "XLB_NYA_rsi14_ratio" 0.001 0.002 0.001
"186" "`ZL=F_NG=F_rsi14_ratio`" 0.001 0 0
"187" "MXX_KS11_rsi14_ratio" 0.001 0 0.001
"188" "`CC=F_LE=F_rsi14_ratio`" 0.001 0.001 0
"189" "`XLF_CT=F_rsi14_ratio`" 0.001 0.001 0
"190" "LE.F_smacross" 0.001 0.001 0
"191" "`NYA_NG=F_rsi14_ratio`" 0.001 0 0
"192" "XLI_smacross" 0.001 0.001 0
"193" "XLI_XLV_price_ratio" 0.001 0 0
"194" "`ZL=F_CL=F_price_ratio`" 0.001 0.001 0
"195" "`FCHI_CC=F_rsi14_ratio`" 0.001 0 0
"196" "`N225_HO=F_rsi14_ratio`" 0.001 0.001 0
"197" "XLU_TWII_price_ratio" 0.001 0.001 0
"198" "BSESN_TNX_rsi14_ratio" 0.001 0.001 0
"199" "IXIC_BVSP_rsi14_ratio" 0.001 0 0
"200" "FTSE_KS11_rsi14_ratio" 0.001 0 0.001
"201" "XLE_XLF_rsi14_ratio" 0.001 0 0
"202" "`MERV_HG=F_rsi14_ratio`" 0.001 0.001 0.001
"203" "XLB_XLU_rsi14_ratio" 0.001 0.001 0
"204" "`STI_GC=F_rsi14_ratio`" 0.001 0 0
"205" "`HSI_GC=F_price_ratio`" 0.001 0 0
"206" "XLP_GSPTSE_rsi14_ratio" 0.001 0 0
"207" "`KC=F_GF=F_price_ratio`" 0.001 0.001 0
"208" "XLI_IXIC_rsi14_ratio" 0.001 0 0
"209" "`XLK_ZM=F_price_ratio`" 0.001 0.001 0
"210" "`TWII_GF=F_price_ratio`" 0.001 0 0
"211" "XLK_XLY_price_ratio" 0.001 0.001 0
"212" "KS11_NZ50_rsi14_ratio" 0.001 0.001 0
"213" "XLK_GDAXI_rsi14_ratio" 0.001 0 0
"214" "XLY_MERV_rsi14_ratio" 0.001 0 0.001
"215" "GSPC_N100_rsi14_ratio" 0.001 0 0
"216" "XLB_XLK_rsi14_ratio" 0.001 0.001 0.001
"217" "RUT_XLI_rsi14_ratio" 0.001 0.001 0
"218" "AXJO_XHB_rsi14_ratio" 0.001 0 0
"219" "`AORD_LE=F_rsi14_ratio`" 0.001 0 0
"220" "`CL=F_KE=F_price_ratio`" 0.001 0.001 0
"221" "HE.F_rsi14" 0.001 0 0
"222" "`RB=F_SHY_price_ratio`" 0.001 0.002 0
"223" "`ZR=F_KC=F_rsi14_ratio`" 0.001 0.001 0.001
"224" "`ZO=F_SI=F_price_ratio`" 0.001 0.001 0
"225" "`CC=F_GF=F_price_ratio`" 0.001 0 0
"226" "`IRX_KE=F_price_ratio`" 0.001 0 0
"227" "`BVSP_KC=F_rsi14_ratio`" 0.001 0 0.001
"228" "XLP_AORD_rsi14_ratio" 0.001 0 0.001
"229" "XLF_XHB_rsi14_ratio" 0.001 0 0
"230" "`CC=F_OJ=F_rsi14_ratio`" 0.001 0.001 0.001
"231" "XLF_XLP_rsi14_ratio" 0.001 0.001 0
"232" "XLE_STI_rsi14_ratio" 0.001 0 0.001
"233" "XLU_BSESN_price_ratio" 0.001 0.001 0
"234" "`VIX_SB=F_rsi14_ratio`" 0.001 0.001 0
"235" "FCHI_N225_rsi14_ratio" 0.001 0.001 0.001
"236" "`ZR=F_BVSP_rsi14_ratio`" 0.001 0.001 0
"237" "MERV_NZ50_rsi14_ratio" 0.001 0 0
"238" "TNX_N225_price_ratio" 0.001 0 0
"239" "`XLK_ZL=F_rsi14_ratio`" 0.001 0.001 0
"240" "KS11_JKSE_price_ratio" 0.001 0 0
"241" "`BVSP_HE=F_price_ratio`" 0.001 0.001 0
"242" "XLB_DJI_rsi14_ratio" 0.001 0.001 0.001
"243" "`STI_CT=F_rsi14_ratio`" 0.001 0 0
"244" "`GC=F_ZS=F_rsi14_ratio`" 0.001 0 0
"245" "`N100_ZO=F_rsi14_ratio`" 0.001 0.001 0
"246" "`ZR=F_HE=F_rsi14_ratio`" 0.001 0.001 0.001
"247" "BSESN_000001.SS_rsi14_ratio" 0.001 0 0
"248" "IRX_IEF_rsi14_ratio" 0.001 0 0
"249" "XLI_FTSE_rsi14_ratio" 0.001 0 0.001
"250" "XLE_TWII_price_ratio" 0.001 0.001 0
"251" "XAX_XLU_rsi14_ratio" 0.001 0 0.001
"252" "`XLI_GF=F_price_ratio`" 0.001 0.002 0
"253" "BVSP_NZ50_rsi14_ratio" 0.001 0 0
"254" "IRX_N225_rsi14_ratio" 0.001 0.001 0
"255" "`KE=F_GF=F_rsi14_ratio`" 0.001 0.001 0.001
"256" "FCHI_FTSE_rsi14_ratio" 0.001 0.001 0
"257" "`ZL=F_SI=F_rsi14_ratio`" 0.001 0.001 0
"258" "N100_MXX_rsi14_ratio" 0.001 0.001 0
"259" "`SI=F_LE=F_rsi14_ratio`" 0.001 0.001 0
"260" "CL.F_rsi14" 0.001 0 0.001
"261" "AXJO_FTSE_price_ratio" 0.001 0 0
"262" "XLK_TNX_rsi14_ratio" 0.001 0 0
"263" "AORD_BVSP_rsi14_ratio" 0.001 0.001 0.001
"264" "`MXX_HO=F_rsi14_ratio`" 0.001 0 0.001
"265" "XAX_NZ50_rsi14_ratio" 0.001 0.001 0
"266" "`GDAXI_ZR=F_rsi14_ratio`" 0.001 0.001 0
"267" "`SI=F_RB=F_rsi14_ratio`" 0.001 0.001 0.001
"268" "`CL=F_GC=F_rsi14_ratio`" 0.001 0 0
"269" "TLT_SHY_rsi14_ratio" 0.001 0 0
"270" "FCHI_XHB_rsi14_ratio" 0.001 0 0
"271" "`OJ=F_IEF_rsi14_ratio`" 0.001 0 0.001
"272" "VIX_rsi14" 0.001 0 0.001
"273" "XAX_FTSE_rsi14_ratio" 0.001 0 0
"274" "`NG=F_KE=F_rsi14_ratio`" 0.001 0.002 0.001
"275" "`ZM=F_ZS=F_rsi14_ratio`" 0.001 0 0.001
"276" "AXJO_TLT_rsi14_ratio" 0.001 0 0
"277" "RUT_XLE_rsi14_ratio" 0.001 0.001 0.001
"278" "BFX_FTSE_rsi14_ratio" 0.001 0.001 0.001
"279" "JKSE_IEF_price_ratio" 0.001 0 0
"280" "`HG=F_SHY_rsi14_ratio`" 0.001 0 0
"281" "`HO=F_LE=F_price_ratio`" 0.001 0.001 0
"282" "`XLY_HG=F_price_ratio`" 0.001 0 0
"283" "`STI_HO=F_rsi14_ratio`" 0.001 0 0
"284" "`CC=F_CT=F_rsi14_ratio`" 0.001 0.001 0
"285" "`000001.SS_GC=F_price_ratio`" 0.001 0 0
"286" "XLE_TWII_rsi14_ratio" 0.001 0.001 0
"287" "`000001.SS_GF=F_rsi14_ratio`" 0.001 0 0
"288" "`TWII_HE=F_rsi14_ratio`" 0.001 0 0
"289" "`ZR=F_ZC=F_rsi14_ratio`" 0.001 0.001 0
"290" "`SB=F_NG=F_rsi14_ratio`" 0.001 0.001 0
"291" "`ZM=F_TLT_price_ratio`" 0.001 0.001 0
"292" "`SB=F_KE=F_price_ratio`" 0.001 0 0
"293" "XLU_GSPC_price_ratio" 0.001 0.003 0.001
"294" "`XLP_CT=F_rsi14_ratio`" 0.001 0 0
"295" "BVSP_MERV_rsi14_ratio" 0.001 0.001 0
"296" "FVX_NZ50_rsi14_ratio" 0.001 0 0
"297" "`ZR=F_RB=F_rsi14_ratio`" 0.001 0 0.001
"298" "GSPC_N100_price_ratio" 0.001 0.001 0
"299" "XLI_IRX_rsi14_ratio" 0.001 0 0
"300" "`HE=F_LE=F_rsi14_ratio`" 0.001 0 0
"301" "FCHI_BSESN_rsi14_ratio" 0.001 0 0.001
"302" "RUT_GSPTSE_rsi14_ratio" 0.001 0.001 0.001
"303" "`000001.SS_ZC=F_price_ratio`" 0.001 0 0
"304" "XLV_XHB_rsi14_ratio" 0.001 0 0.001
"305" "ZS.F_rsi14" 0.001 0.001 0
"306" "XLV_AXJO_price_ratio" 0.001 0 0
"307" "`BSESN_GF=F_rsi14_ratio`" 0.001 0.001 0
"308" "XLE_BVSP_rsi14_ratio" 0.001 0.001 0.001
"309" "`HE=F_IEF_rsi14_ratio`" 0.001 0 0
"310" "`000001.SS_JKSE_rsi14_ratio`" 0.001 0.001 0.001
"311" "`VIX_CL=F_rsi14_ratio`" 0.001 0 0
"312" "`FCHI_ZR=F_rsi14_ratio`" 0.001 0 0
"313" "XLB_BSESN_price_ratio" 0.001 0 0
"314" "XLV_TWII_price_ratio" 0.001 0.002 0
"315" "`HO=F_TLT_rsi14_ratio`" 0.001 0 0
"316" "AORD_GSPTSE_price_ratio" 0.001 0.001 0
"317" "XLP_smacross" 0.001 0.001 0
"318" "`BSESN_HO=F_rsi14_ratio`" 0.001 0 0
"319" "`FCHI_LE=F_rsi14_ratio`" 0.001 0 0
"320" "`XAX_GC=F_rsi14_ratio`" 0.001 0 0
"321" "XLI_KLSE_rsi14_ratio" 0.001 0 0
"322" "`ZR=F_NZ50_rsi14_ratio`" 0.001 0.001 0
"323" "XLF_KLSE_rsi14_ratio" 0.001 0 0
"324" "XLY_DJI_rsi14_ratio" 0.001 0 0
"325" "`000001.SS_ZM=F_rsi14_ratio`" 0.001 0 0
"326" "STI_TYX_rsi14_ratio" 0.001 0 0.001
"327" "`RB=F_OJ=F_rsi14_ratio`" 0.001 0.001 0.001
"328" "XLV_BVSP_rsi14_ratio" 0.001 0 0
"329" "XLF_BSESN_rsi14_ratio" 0.001 0.001 0.001
"330" "AORD_MERV_rsi14_ratio" 0.001 0 0
"331" "`XAX_NG=F_rsi14_ratio`" 0.001 0.001 0.001
"332" "`XLP_OJ=F_price_ratio`" 0.001 0.001 0
"333" "`HE=F_GF=F_rsi14_ratio`" 0.001 0.001 0.001
"334" "`XLI_HG=F_rsi14_ratio`" 0.001 0 0
"335" "`BFX_LE=F_rsi14_ratio`" 0.001 0 0
"336" "KS11_smacross" 0.001 0 0
"337" "`AORD_OJ=F_rsi14_ratio`" 0.001 0 0
"338" "XLI_GSPTSE_price_ratio" 0.001 0 0
"339" "`TWII_CL=F_rsi14_ratio`" 0.001 0.001 0
"340" "`XAX_GC=F_price_ratio`" 0.001 0.001 0
"341" "`GSPTSE_SB=F_price_ratio`" 0.001 0 0
"342" "`CL=F_HE=F_price_ratio`" 0.001 0.001 0
"343" "`AORD_ZS=F_rsi14_ratio`" 0.001 0 0
"344" "XAX_KLSE_price_ratio" 0.001 0.001 0
"345" "XLU_XHB_rsi14_ratio" 0.001 0 0
"346" "TNX_TYX_rsi14_ratio" 0.001 0 0
"347" "AORD_STI_rsi14_ratio" 0.001 0 0
"348" "`BVSP_RB=F_rsi14_ratio`" 0.001 0 0
"349" "XLK_MXX_rsi14_ratio" 0.001 0 0
"350" "BVSP_FVX_price_ratio" 0.001 0 0
"351" "N225_SHY_rsi14_ratio" 0.001 0 0
"352" "MERV_smacross" 0.001 0 0
"353" "`STI_GC=F_price_ratio`" 0.001 0 0
"354" "AXJO_XHB_price_ratio" 0.001 0.001 0
"355" "XLB_rsi14" 0.001 0 0
"356" "RUT_FTSE_rsi14_ratio" 0.001 0 0
"357" "`MERV_ZS=F_rsi14_ratio`" 0.001 0 0
"358" "`ZL=F_HG=F_rsi14_ratio`" 0.001 0.001 0.001
"359" "BFX_MXX_rsi14_ratio" 0.001 0.001 0.001
"360" "IXIC_rsi14" 0.001 0 0
"361" "XLB_XLP_rsi14_ratio" 0.001 0 0
"362" "ZL.F_smacross" 0.001 0 0
"363" "`ZR=F_CL=F_rsi14_ratio`" 0.001 0 0
"364" "DJI_XHB_price_ratio" 0.001 0 0
"365" "`IXIC_LE=F_rsi14_ratio`" 0.001 0.001 0
"366" "`JKSE_KE=F_rsi14_ratio`" 0.001 0 0
"367" "`ZM=F_IEF_rsi14_ratio`" 0.001 0 0
"368" "`LE=F_TLT_price_ratio`" 0.001 0 0
"369" "`000001.SS_IEF_price_ratio`" 0.001 0 0
"370" "XLU_JKSE_price_ratio" 0.001 0 0
"371" "`XLP_ZR=F_rsi14_ratio`" 0.001 0 0.001
"372" "`HE=F_LE=F_price_ratio`" 0.001 0 0
"373" "`ZC=F_SI=F_price_ratio`" 0.001 0 0
"374" "XAX_BFX_rsi14_ratio" 0.001 0.001 0.001
"375" "`XLB_CL=F_rsi14_ratio`" 0.001 0 0
"376" "HSI_rsi14" 0.001 0.001 0.001
"377" "`XLY_CC=F_price_ratio`" 0.001 0 0
"378" "`VIX_HE=F_price_ratio`" 0.001 0 0
"379" "`ZM=F_RB=F_rsi14_ratio`" 0.001 0.001 0.001
"380" "`KE=F_LE=F_rsi14_ratio`" 0.001 0.001 0.001
"381" "`ZO=F_RB=F_price_ratio`" 0.001 0 0
"382" "MXX_KLSE_rsi14_ratio" 0.001 0 0.001
"383" "XAX_XLK_price_ratio" 0.001 0 0
"384" "`XLI_CL=F_rsi14_ratio`" 0.001 0 0
"385" "GSPC_TLT_rsi14_ratio" 0.001 0 0
"386" "JKSE_rsi14" 0.001 0 0
"387" "`MERV_ZL=F_rsi14_ratio`" 0.001 0 0.001
"388" "`CC=F_XHB_rsi14_ratio`" 0.001 0 0
"389" "`ZR=F_000001.SS_price_ratio`" 0.001 0 0
"390" "`SI=F_XHB_rsi14_ratio`" 0.001 0.001 0
"391" "`AXJO_KC=F_rsi14_ratio`" 0.001 0 0
"392" "XLB_XLV_price_ratio" 0.001 0.001 0
"393" "`TYX_SB=F_price_ratio`" 0.001 0 0
"394" "`STI_ZM=F_rsi14_ratio`" 0.001 0 0
"395" "XLE_TNX_rsi14_ratio" 0.001 0.001 0
"396" "XLB_GSPC_rsi14_ratio" 0.001 0.001 0.001
"397" "N100_FTSE_rsi14_ratio" 0.001 0.001 0.001
"398" "`VIX_GC=F_rsi14_ratio`" 0.001 0 0
"399" "`LE=F_GF=F_rsi14_ratio`" 0.001 0 0.001
"400" "GDAXI_FTSE_rsi14_ratio" 0.001 0 0.001
"401" "`XLY_ZR=F_rsi14_ratio`" 0.001 0 0
"402" "XLI_GSPC_rsi14_ratio" 0.001 0 0.001
"403" "`TNX_ZC=F_rsi14_ratio`" 0.001 0 0
"404" "TNX_000001.SS_price_ratio" 0.001 0 0
"405" "`DJI_ZL=F_rsi14_ratio`" 0.001 0.001 0
"406" "XLE_KS11_rsi14_ratio" 0.001 0 0.001
"407" "HSI_KS11_rsi14_ratio" 0.001 0.001 0.001
"408" "STI_rsi14" 0.001 0 0.001
"409" "XLP_XHB_price_ratio" 0.001 0.001 0
"410" "`ZC=F_HE=F_price_ratio`" 0.001 0.001 0
"411" "`XLB_RB=F_rsi14_ratio`" 0.001 0 0
"412" "`XLU_OJ=F_rsi14_ratio`" 0.001 0 0
"413" "`TYX_ZL=F_price_ratio`" 0.001 0.001 0
"414" "`BVSP_CT=F_rsi14_ratio`" 0.001 0 0
"415" "`ZR=F_ZL=F_rsi14_ratio`" 0.001 0.001 0.001
"416" "`FTSE_HE=F_rsi14_ratio`" 0.001 0 0
"417" "XLE_rsi14" 0.001 0.001 0.001
"418" "BVSP_JKSE_rsi14_ratio" 0.001 0.001 0.001
"419" "`RB=F_HE=F_price_ratio`" 0.001 0.002 0
"420" "XAX_IEF_price_ratio" 0.001 0 0
"421" "XAX_STI_rsi14_ratio" 0.001 0.001 0.001
"422" "`ZR=F_SHY_price_ratio`" 0.001 0 0
"423" "`IRX_LE=F_rsi14_ratio`" 0.001 0.001 0.001
"424" "`XLV_KE=F_rsi14_ratio`" 0.001 0 0
"425" "GSPTSE_FTSE_rsi14_ratio" 0.001 0 0.001
"426" "BFX_BVSP_rsi14_ratio" 0.001 0 0.001
"427" "XLI_TWII_rsi14_ratio" 0.001 0 0
"428" "RUT_XLU_price_ratio" 0.001 0 0
